Name,Wiki Name,Party,Wiki search,Wiki Output
Moitra  Mahua,Mahua Moitra,All India Trinamool Congress,Mahua Moitra All India Trinamool Congress,"Mahua Moitra (born 12 October 1974) is an Indian politician and a Member of parliament in the 17th Lok Sabha from Krishnanagar, West Bengal. She contested and won the seat in the 2019 Indian general election as an All India Trinamool Congress (AITC) party candidate.Moitra served as a member of the West Bengal Legislative Assembly representing Karimpur from 2016 to 2019, and has served as the general secretary and national spokesperson of the AITC for the past few years. She was an investment banker before entering politics."
Molhu Prasad  Shri,Molhu Prasad,Samyukta Socialist Party,Molhu Prasad Samyukta Socialist Party,"Molhu Prasad  is an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India from the Bansgaon constituency of Uttar Pradesh as a member of the Samyukta Socialist Party."
Mollah  Shri Hannan,Hannan Mollah,Communist Party of India (Marxist),Hannan Mollah Communist Party of India (Marxist),"Hannan Mollah (born 3 January 1946) is an Indian communist politician and a senior leader of the All India Kisan Sabha. He was the member of Indian parliament and elected as the Lok Sabha for   (lower house of Indian parliament) eight times from constituency of Uluberia in Howrah district of West Bengal, mollah is the member of  Politburo of the Communist Party of India (Marxist)."
Mondal  Shri Abu Ayes,Abu Ayes Mondal,Communist Party of India (Marxist),Abu Ayes Mondal Communist Party of India (Marxist),#N/A
Mondal  Dr. Bijoy Kumar,Dr. Bijoy Kumar Mondal,Janata Party,Dr. Bijoy Kumar Mondal Janata Party,"Dr Bijoy Kumar Mondal (born 1 December 1924) is an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Bankura, West Bengal in the 1977 Indian general election as a member of the Janata Party."
Mondal  Shri Jugal,Jugal Mondal,Congress,Jugal Mondal Congress,#N/A
Mondal  Pratima,Pratima Mondal,All India Trinamool Congress,Pratima Mondal All India Trinamool Congress,"Pratima Mondal (née Naskar; born 	16 February 1966) is an Indian politician who has been a Member of Parliament for Jaynagar since 2014. She is belonging to the All India Trinamool Congress."
Mondal  Shri Sunil Kumar,Sunil Kumar Mondal,All India Trinamool Congress,Sunil Kumar Mondal All India Trinamool Congress,"Sunil Kumar Mondal is an Indian politician and was a member of parliament to the 16th Lok Sabha from Bardhaman Purba (Lok Sabha constituency), West Bengal. He won the 2014 Indian general election being an All India Trinamool Congress candidate.While still a Forward Bloc MLA from Galsi (Vidhan Sabha constituency) he had voted for the Trinamool Congress candidate during the Rajya Sabha election in February 2014. Subsequently, he joined the Trinamool Congress.On 19 December 2020, he joined the Bharatiya Janata Party. But after TMC's thumping victory in 2021 election he declared that he was ""always with the TMC""."
Mookerjee  Dr. Shyama Prasad,Dr. Shyama Prasad Mookerjee,Jan Sangh,Dr. Shyama Prasad Mookerjee Jan Sangh,"Syama Prasad Mukherjee (6 July 1901 – 23 June 1953) was an Indian politician, barrister and academician, who served as the Minister for Industry and Supply in Jawaharlal Nehru's cabinet. After falling out with Nehru, protesting against the Liaquat-Nehru Pact, Mukherjee resigned from Nehru's cabinet. With the help of the Rashtriya Swayamsevak Sangh, he founded the Bharatiya Jana Sangh, the predecessor to the Bharatiya Janata Party, in 1951.He was also the president of Akhil Bharatiya Hindu Mahasabha from 1943 to 1946. He died in the custody of Jammu and Kashmir Police in 1953. He was provisionally diagnosed of a heart attack and shifted to a hospital but died a day later. Since the Bharatiya Janata Party is the successor to the Bharatiya Jana Sangh, Mukherjee is also regarded as the founder of the Bharatiya Janata Party."
Mookherjee  Shri Satyabrata,Satyabrata Mookherjee,Bharatiya Janata Party,Satyabrata Mookherjee Bharatiya Janata Party,Satyabrata Mookherjee (born 8 May 1932) is a former Indian Union Minister of State was the President of BJP's West Bengal state unit from 2008 before being replaced by Rahul Sinha in October 2009. He was Minister of State for Chemicals and Fertilizers (September 2000 – June 2002) and later for Commerce and Industry (July 2002 – October 2003) in Atal Bihari Vajpayee ministry.
Moorthy  Shri A.K.,A.K. Moorthy,Pattali Makkal Katchi,A.K. Moorthy Pattali Makkal Katchi,"A.K. Moorthy is Deputy General Secretary of PMK, Former Member of parliament, Former Union Minister of State for Railways in Atal Bihari led NDA government.
He was born 12 July 1964 at Kilmambattu a remote village in Gingee Taluk, in Tamil Nadu in an agriculturalist family. He did his schooling in the said village and later acquired MA. in Sociology from Annamalai University. He moved on to Chennai and started his own business.
At this stage, he came in contact with PMK Founder S. Ramadoss, attracted by the policies and activities of the Party. He started his political career as an ordinary party member and rose in the party hierarchy to the level of Deputy General Secretary of the PMK Party. He contested the Chengalpattu Lok Sabha Constituency for the first time in 1999, won with a handsome margin and got elected to the 13th Lok Sabha.Shri A.K.Moorthy was inducted to the Union Council of Ministers as a Minister of State for Railways on 1 July 2002. He assumed charge as Minister of State for Railways on 2 July 2002. Shri Moorthy, Minister of state for Railways has visited 152 Railway Stations spread around the Northern Railway, Central Railway, Western Railway, Eastern railway, South Central Railway, and Southern Railway during his tenure as a Union Minister.
He often witnessed the uncomfortable journey of the mothers to make their babies sleep on boards. The Minister took Pity on their plight and gave a serious thought to solve this problem. As a result, he introduced the cradle service system ( Thottil Kuzhanthai Thittam ) for the first time in the history of Indian railways on 20 September 2002. This service has been widely acclaimed by the passengers, particularly women.
A.K. Moorthy during his tenure introduced many trains for people which benefited the country. Special appreciation was also given by former Prime Minister of India Shri Atal Bihari Vajpayee and former President of India Shri A. P. J. Abdul Kalam.
A.K. Moorthy for the second time contested the Chengalpattu Lok Sabha Constituency in 2004, won with a very huge margin and got elected to the 14th Lok Sabha. He served the people of Chengalpattu Lok Sabha Constituency as a representative for 10 years in the Parliament of India. Mr. Moorthy was also a Member of Parliamentary Standing Committee: On Chemical And Fertilizer, On Rural Development, On Public Grievances, Law and Justice. He actively participated in the deliberations of these committees and voiced for the poor and downtrodden. Shri Moorthy as a young and a dynamic Member of Parliament, concentrated on primary education, public distribution system, rural transport."
Morarka  Shri Radheyshyam Ramkumar,Radheyshyam Ramkumar Morarka,Congress,Radheyshyam Ramkumar Morarka Congress,#N/A
More  Shri Jayawant Ghanashyam,Jayawant Ghanashyam More,Samyakta Maharashtra Samiti,Jayawant Ghanashyam More Samyakta Maharashtra Samiti,#N/A
More  Shri Krishnaji Laxman,Krishnaji Laxman More,Congress,Krishnaji Laxman More Congress,#N/A
More  Shri Ramkrishna,Ramkrishna More,Congress (I),Ramkrishna More Congress (I),"Ramkrishna More was an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India as a member of the Indian National Congress."
More  Shri Shankarrao Shantaram,Shankarrao Shantaram More,Congress,Shankarrao Shantaram More Congress,"Shankarrao Shantaram More   is an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India."
More  Shri Vasantrao J.,Vasantrao J. More,Nationalist Congress Party,Vasantrao J. More Nationalist Congress Party,Advocate Vasnatrao J More  (born 1 April 1947) is a member of the 14th Lok Sabha of India. He represents the Erandol constituency of Maharashtra and is a member of the Nationalist Congress Party (NCP) political party.
Mrityunjay Prasad  Shri,Mrityunjay Prasad,Janata Party,Mrityunjay Prasad Janata Party,#N/A
Mubarak Shah  Shri Khwaja,Khwaja Mubarak Shah,National Conference,Khwaja Mubarak Shah National Conference,"Khwaja Mubarak Shah was a senior Jammu & Kashmir National Conference leader and former Member of The Indian Parliament (MP) from the North Kashmir constituency of Baramulla in the early 1980s  and also served as a Deputy Minister in the 1952 Government of Prime Minister Sheikh Mohammad Abdullah. He also served as Superintendent of Police from 1947  for a brief spell and was trained under Gen. Thimaih, and had given up the job to join politics after Sheikh Mohammed Abdullah was made as an interim Administrator to govern the State when its Dogra ruler Maharaja Hari Singh was dethroned in 1947. He was jailed along with Sheikh Mohammad Abdullah and remained in Jail from August 1953 to February 1963, when his father had died. Mubarak Shah polled an overwhelming 67.57% of votes in the Parliamentary Elections in 1980 as opposed to his closest opponent, Muzaffar Hussain Beg who polled 28.48% of total votes polled. He is the son of Khwaja Sikander Shah of Varmul and the Brother-in-Law of Ghulam Ahmad Ashai. He was succeeded as the MP from Baramulla by Saifuddin Soz, who went on to serve as the Union Minister for Water Resources in the first Manmohan Singh Administration.
Mubarak Shah was one of Sheikh Mohammad Abdullah's ""premier lieutenants"", as stated by Wajahat Habibullah in his book, ""My Kashmir: Conflict and the Prospects for Enduring Peace"". Mubarak Shah also served as a senior Cabinet Minister in Syed Mir Qasim's Government in Jammu & Kashmir, being placed in charge of a host of vital departments i.e. health and medical education, agriculture, forest, revenue, rural development, housing and horticulture. He contested Legislative Assembly elections from Baramulla and Tangmarg. He led the Indian delegation to  International Health Conference held at Colombo, Sri Lanka in 1974.
He served as India's Ambassador to Sudan and Tchad(Chad) from June 1976 to September 1978 and on return from the assignment was elected as Member Parliament Rajya Sabha from 11 November 1978 to 10 January 1980, whereafter he contested Lok Sabha election and got elected from Baramulla Parliamentary constituency.
Mubarak Shah, a lawyer by profession, represented Sheikh Mohammad Abdullah in the infamous Kashmir Conspiracy Case as the lead defense lawyer and also accompanied Sheikh Abdullah on his high-profile visit to Pakistan on 24 May 1964 along with Mirza Afzal Beg and Maulana Masoodi. He served as Indian ambassador to Sudan and Tchad from 1976 to 1978.

"
Muchaki Kosa  Shri,Muchaki Kosa,Independents,Muchaki Kosa Independents,"Muchaki Kosa   is an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India from Bastar, Madhya Pradesh as an  Independent."
Mudalagiriyappa  Shri C.P.,C.P. Mudalagiriyappa,Indian National Congress,C.P. Mudalagiriyappa Indian National Congress,"C. P. Mudalagiriyappa ( 24 June 1940, Chiratha Halli, Tumkur district, (Karnataka)) is a leader of Indian National Congress from Karnataka. He served as member of the Lok Sabha representing Chitradurga (Lok Sabha constituency). He was elected to 9th, 10th and 12th Lok Sabha."
Mudaliar  Shri C. Ramaswami,C. Ramaswami Mudaliar,Congress,C. Ramaswami Mudaliar Congress,#N/A
Muddahanumegowda  Shri S.P.,S.P. Muddahanumegowda,Indian National Congress,S.P. Muddahanumegowda Indian National Congress,"Muddahanumegowda S. P. (born 4 March 1954) is an Indian politician and Member of Parliament in 16th Lok Sabha. He belongs to the Indian National Congress party. In the 2014 Indian General Election, he defeated the sitting Bharatiya Janata Party candidate G.S. Basavaraj by 74,041 votes and  became a member of the 16th Lok Sabha representing Tumkur in Karnataka. He has previously worked as a judge for a few years and later as a member of the legislative assembly for ten years from Kunigal constituency in Karnataka."
Mude  Shri Vijay Annaji,Vijay Annaji Mude,Bharatiya Janata Party,Vijay Annaji Mude Bharatiya Janata Party,#N/A
Muhammad  Dr. V.A. Seyid,Dr. V.A. Seyid Muhammad,Congress,Dr. V.A. Seyid Muhammad Congress,#N/A
Muhammad Islamuddin  Shri,Muhammad Islamuddin,Congress,Muhammad Islamuddin Congress,"Muhammad Islamuddin (born March 1894, date of death unknown) was an Indian politician, lawyer and the Member of Parliament. He represented Purnia parliament constituency in 1952 after elected to the first Lok Sabha in India's first general election. He also served as the member of Bihar Legislative Assembly from 1936 to 1952.
He was affiliated with the Indian National Congress and served as the member of District Board for Purnia from 1924 to 1946, member of the Kathar Dispensary Committee from 1927 to 1939. In 1930, he was appointed as the commissioner of Purnia Municipality and served until 1933."
Muhammad Ismail  Shri M.,M. Muhammad Ismail,Muslim League,M. Muhammad Ismail Muslim League,"M. Muhammad Ismail Rowther (Tamil: முஹம்மது இஸ்மாயில், காயிதே மில்லத்; 5 June 1896—5 April 1972) was an Indian politician   and social worker from Tirunelveli, southern Tamil Nadu. He is the founder of Indian Union Muslim League after the partition of British India (1947). He was popularly known in Tamil Nadu and Kerala as the ""Quaid-e-Millat"" (""the Leader of the Nation"").Ismail was a member of Madras Legislative Assembly and Leader of the Opposition (1946—52). He was also a member (1948—50) of the Constituent Assembly (1946), the drafting body of the constitution of India. He was also a member of Rajya Sabha (1952—58) from Madras and Lok Sabha (3rd, 1962—67, 4th, 1967—70 and 5th, 1971—72)."
Muhammed Sheriff  Shri S.M.,S.M. Muhammed Sheriff,Indian Union Muslim League,S.M. Muhammed Sheriff Indian Union Muslim League,#N/A
Mujahid  Shri Babajan Miran,Babajan Miran Mujahid,Congress (I),Babajan Miran Mujahid Congress (I),#N/A
Mukerjee  Shri Hirendra Nath,Hirendra Nath Mukerjee,Communist Party,Hirendra Nath Mukerjee Communist Party,#N/A
Mukerjee  Sharda,Sharda Mukerjee,Congress,Sharda Mukerjee Congress,#N/A
Mukherjee  Dr. Abhijit,Dr. Abhijit Mukherjee,Indian National Congress,Dr. Abhijit Mukherjee Indian National Congress,"Abhijit Mukherjee (born 2 January 1960) is an Indian politician who served as Member of Parliament (MP) from the Jangipur Lok Sabha constituency in the Indian state of West Bengal.
Mukherjee won the 2012 Jangipur Lok Sabha constituency by-election by 2,536 votes defeating his nearest CPI(M) rival Muzaffar Hussain after a tough fight. The seat was vacated by his father President Pranab Mukherjee after he was elected as the President.Mukherjee was re elected to Lok Sabha from Jangipur in 2014. He lost the 2019 election to TMC candidate Khalilur Rahaman.

"
Mukherjee  Geeta,Geeta Mukherjee,Communist Party of India,Geeta Mukherjee Communist Party of India,"Geeta Mukherjee (8 January 1924 – 4 March 2000) was an Indian politician and social worker and a four times MLA from Panskura Purba, from 1967 to 1977. As a Member of Parliament, she was elected seven times  from the Panskura constituency, from 1980 to 2000, in the Indian state of West Bengal being a Communist Party of India (CPI) candidate. She also remained the president of National Federation of Indian Women, women's wing of Communist Party of India. She led the demand for the legislature of 1/3rd reservation for women in parliamentary elections in India."
Mukherjee  Shri Pramothes,Pramothes Mukherjee,Revolutionary Socialist Party,Pramothes Mukherjee Revolutionary Socialist Party,#N/A
Mukherjee  Shri Samar,Samar Mukherjee,Communist Party of India (Marxist),Samar Mukherjee Communist Party of India (Marxist),"Samar Mukherjee (7 November 1913 – 18 July 2013) was an Indian Communist leader. who served as member of the Lok Sabha, the lower house of the Parliament of India for the Howrah constituency for three consecutive term, and as a member of the Rajya Sabha. He was a member of the Polit Bureau, member of the Central Committee of Communist Party of India (Marxist) and he was also the General Secretary CITU."
Mukherjee  Shri Saroj,Saroj Mukherjee,Communist Party(Marxist),Saroj Mukherjee Communist Party(Marxist),"Saroj Mukherjee (14 January 1911 – 9 February 1990) was an Indian freedom fighter and a member of the Polit Bureau of the Communist Party of India (Marxist). He was also the secretary of the West Bengal state committee of the Communist party.

"
Mukherjee  Shri Subrata,Subrata Mukherjee,Communist Party of India (Marxist),Subrata Mukherjee Communist Party of India (Marxist),Subrata Mukherjee (14 June 1946 – 4 November 2021) was an Indian politician who was cabinet minister of the government of West Bengal and sitting member of West Bengal Legislative Assembly. He was a member of All India Trinamool Congress. He was also the 35th Mayor of Kolkata from 2000 to 2005.
Mukhopadhyay  Shri Ajoy,Ajoy Mukhopadhyay,Communist Party of India (Marxist),Ajoy Mukhopadhyay Communist Party of India (Marxist),"Ajoy Mukhopadhyay (born 27 August 1928 Raruli, Khulna district, (now in Bangladesh)) was member of 9th Lok Sabha from Krishnanagar (Lok Sabha constituency) in West Bengal, India.
He was elected to 9th, 10th, 11th and 12th Lok Sabha from Krishanagar constituency in Nadia district. He died on 24 July 2019 at the age of 90."
Mukhopadhyay  Shri Ananda Gopal,Ananda Gopal Mukhopadhyay,Congress (I),Ananda Gopal Mukhopadhyay Congress (I),"Ananda Gopal Mukhopadhyay (27 November 1926 – ?), was an Indian National Congress politician."
Mukne  H.H. Raja Yeshwantrao,H.H. Raja Yeshwantrao Mukne,Congress,H.H. Raja Yeshwantrao Mukne Congress,"This is a list of members of the 4th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 4th Lok Sabha (1967 to 1971) at the 1967 Indian general election.

"
Mukne  Shri Yeshwantrao Martandrao,Yeshwantrao Martandrao Mukne,Congress,Yeshwantrao Martandrao Mukne Congress,"Jawhar State was a princely state in India. As a princely state, it became a part of Bombay Presidency during the British Raj. It was the only state belonging to the Thana Agency. The last Mahadeo Koli Ruler of Jawhar at Indian independence was Maharaja Patang Shah V also known as Flight Lieutenant  Yashwantrao Martandrao Mukne.The coat of arms consisted of a shield in three parts; dexter, tenne a dexter fist holding two crossed arrows (points dexter) and a bow, all argent; sinister, argent a round shield sable bordured or, in the chief argent, a sword or pointed sinister. The flag was a rectangular saffron swallow-tail with a star of eleven rays, yellow in the canton."
Mulla  Shri Anand Narain,Anand Narain Mulla,Independents,Anand Narain Mulla Independents,Anand Narain Mulla (October 1901 – 13 June 1997) was an Indian Urdu poet. He served as a Member of Parliament in both the Lok Sabha and the Rajya Sabha.
Mullappally  Shri Ramachandran,Ramachandran Mullappally,Indian National Congress,Ramachandran Mullappally Indian National Congress,"Mullappally Ramachandran  (born 7 November 1944) is an Indian politician and former president of the Kerala Pradesh Congress Committee (KPCC). He is a member of the Indian National Congress, and the son of Congress leader Mullappally Gopalan.
Mullappally Ramachandran has returned five times consecutively to the 8th, 9th, 10th, 11th and 12th Lok Sabha from Kannur  constituency, a strong fortress of rival party CPI(M). From 2009 to 2019, he was the Member of Parliament for Vatakara constituency. In the 15th Lok Sabha, he was Minister of State for Home Affairs, Govt. of India."
Mullick  Shri Baishnab Charan,Baishnab Charan Mullick,Praja Socialist Party (PSP),Baishnab Charan Mullick Praja Socialist Party (PSP),#N/A
Multan Singh  Choudhary,Choudhary Multan Singh,Janata Dal,Choudhary Multan Singh Janata Dal,"Choudhary Multan Singh was   an Indian politician.  He was elected to the Lok Sabha, the lower house of the Parliament of India from the Jalesar, Uttar Pradesh  as a member of the Janata Dal."
Munda  Shri Arjun,Arjun Munda,Bharatiya Janata Party,Arjun Munda Bharatiya Janata Party,"Arjun Munda (born 3 May 1968) is an Indian politician. He is the current Minister of Tribal Affairs in the Second Modi ministry. He was also Chief Minister of Indian state of Jharkhand. He has also served as a member of parliament having been elected to the 15th Lok Sabha from the Jamshedpur constituency in the 2009 parliamentary elections. BJP's central leadership also appointed him a National General Secretary of the party recognising his strong credentials as a popular mass leader and his significant contributions in strengthening the party in his state.
He lost his den to the JMM's Dashrath Gagrai by 11,966 votes in Kharasawan for 14 years in a 2014 state assembly election."
Munda  Shri Govind Chandra,Govind Chandra Munda,Janata Dal,Govind Chandra Munda Janata Dal,"Govind Chandra Munda is a politician from Odisha, India. He represented Keonjhar (Lok Sabha constituency) during the 9th and 10th Lok Sabha. He represented as a Janata Dal candidate."
Munda  Shri Govinda,Govinda Munda,Janata Party,Govinda Munda Janata Party,Keonjhar is a Lok Sabha parliamentary constituency in Odisha.
Munda  Shri Kariya,Kariya Munda,Bharatiya Janata Party,Kariya Munda Bharatiya Janata Party,"Kariya Munda (born 20 April 1936) is an Indian politician and the former Deputy Speaker of the 15th Lok Sabha. He has been a former minister in the Government of India, in the Governments led by the Janata Party in 1977 and by Bhartiya Janata Party, from 1999 onwards."
Mundackal  Shri George Joseph,George Joseph Mundackal,Kerala Congress,George Joseph Mundackal Kerala Congress,"Muvattupuzha was a Lok Sabha constituency in Kerala.

"
Munde  Dr. Pritam Gopinath Rao,Dr. Pritam Gopinath Rao Munde,Bharatiya Janata Party,Dr. Pritam Gopinath Rao Munde Bharatiya Janata Party,"Sharad Govindrao Pawar (Marathi pronunciation: [ʃəɾəd̪ pəʋaːɾ], born 12 December 1940) is an Indian politician. He has served as the Chief Minister of Maharashtra on three occasions. He has held the posts of Minister of Defence and Minister of Agriculture in the Government of India. He is president of the Nationalist Congress Party (NCP), which he founded in 1999, after separating from the Indian National Congress. He leads the NCP delegation in the Rajya Sabha, the upper chamber of the Indian parliament. He is the chairperson of Maha Vikas Aghadi.
Pawar comes from Baramati of Maharashtra. He is the patriarch of Maharashtra's most influential political family and a prominent maratha face in Maharashtra. Other politicians from the family include Supriya Sule his daughter, Ajit Pawar his nephew, Rohit Rajendra Pawar a nephew's son and other members of his extended family.Outside of politics, Pawar served as the Chairman of the Board of Control for Cricket in India BCCI from 2005 to 2008 and as the president of the International Cricket Council from 2010 to 2012. He was the president of the Mumbai Cricket Association for many years.In 2017, the Indian government conferred upon him Padma Vibhushan, the second-highest civilian honour of India."
Muni Lall  Shri,Muni Lall,Bharatiya Janata Party,Muni Lall Bharatiya Janata Party,"Muni Lall (6 August 1938 – 23 December 2019) was an Indian politician, minister and civil servant."
Muniswamy  Shri S.,S. Muniswamy,Bharatiya Janata Party,S. Muniswamy Bharatiya Janata Party,"Sadappa Muniswamy (b 1975) is an Indian politician, a member of Bharatiya Janata Party (BJP). He was elected to the Lok Sabha, lower house of the Parliament of India, from Kolar in Karnataka in 2019 as a BJP candidate after causing massive upset by defeating congress heavyweight, former central minister  and seven time member of parliament K. H. Muniyappa in his own bastion.
Muniswamy participated in the launch of a new train service from Kolar to Whitefield and during the occasion promised to take up the doubling work of railway line between Marikuppam and Bangarpet-Kolar-Bangarpet.In just a decade and half his political fortunes have skyrocketed from being a panchayat member to Member of Parliament. He was first elected in Kadugodi in Panchayat elections. Later he became a Corporator from Kadugodi Ward in Bangalore after winning BBMP elections in 2015. S. Muniswamy had unsuccessfully contested for mayoral election, but lost against Sampath Raju of Congress in 2018."
Muniyappa  Dr. K.H.,Dr. K.H. Muniyappa,Bharatiya Janata Party,Dr. K.H. Muniyappa Bharatiya Janata Party,"Kambadahalli Hanumappa Muniyappa (born 7 March 1948) is an Indian politician who was the Minister of State for Independent charge of Micro, Small and Medium Enterprises of India and a Member of Parliament in the Lok Sabha representing Kolar Lok Sabha constituency of Karnataka from 1991 to 2019.  He is a member of the Indian National Congress (INC) political party."
Munjare  Shri Kankar,Kankar Munjare,Independents,Kankar Munjare Independents,#N/A
Munjpara  Dr. Mahendrabhai Kalubhai,Dr. Mahendrabhai Kalubhai Munjpara,Bharatiya Janata Party,Dr. Mahendrabhai Kalubhai Munjpara Bharatiya Janata Party,#N/A
Munshiram  Shri,Munshiram,Rashtriya Lok Dal,Munshiram Rashtriya Lok Dal,"Munshiram Manoharlal Publishers Pvt. Ltd. (MRML) is a leading publishing house located in New Delhi, India. Established in 1952 by Manohar Lal Jain, it is one of the oldest publishing houses in India. 

"
Munusamy  Shri K.P.,K.P. Munusamy,All India Anna Dravida Munnetra Kazhagam,K.P. Munusamy All India Anna Dravida Munnetra Kazhagam,"K.P. Munusamy (Tamil: கே பி., முனுசாமி; born 7 June 1952) is an Indian politician and incumbent member of the Tamil Nadu Legislative Assembly from Krishnagiri Constituency. Munusamy completed his Bachelor of Arts from Govt. Arts College, Krishnagiri during 1971-1974 and later graduated Bachelor of Law from Government Law College, Chennai. He was a Minister for Municipal Administration and Rural Development in the Government of Tamil Nadu.Munusamy also serves as district Secretary, All India Anna Dravida Munnetra Kazhagam (AIADMK) and secretary of Krishnagiri district Anna employees union."
Munzni  Shri David,David Munzni,Congress,David Munzni Congress,"David Munzni was an Indian politician. He was a Member of Parliament, representing Lohardaga, Bihar in the Lok Sabha the lower house of India's Parliament as a member of the Indian National Congress."
Muqueem  Shri Mohammed,Mohammed Muqueem,Bahujan Samaj Party,Mohammed Muqueem Bahujan Samaj Party,Mohammad Muqim (born 15 January 1953) is an Indian politician for the Domariaganj (Lok Sabha constituency) in Uttar Pradesh.
Murahari  Shri Godey,Godey Murahari,Congress,Godey Murahari Congress,"Godey Murahari (born 20 May 1926 - died 1982) in Jamshedpur  was former Deputy Speaker  of 6th Lok Sabha and Member of Lok Sabha, Parliament of India. He was also member of Rajya Sabha from Uttar Pradesh from 1962 to 1977 and Rajya Sabha Deputy Chairman from 1972 to 1977. He belongs to Perike (Puragiri Kshatriya) caste.
 He died in 1982."
Muraleedharan  Shri K.,K. Muraleedharan,Indian National Congress,K. Muraleedharan Indian National Congress,"Kannoth Muraleedharan (born 14 May 1957) is an Indian National Congress (INC) politician from Kerala, the son of eminent congress leader K. Karunakaran. He was elected as member of the Lok Sabha thrice (in 1989, 1991, and 1999) from the Kozhikode constituency, subsequently leaving the party in 2005. For a while he had joined NCP of Sharad Pawar. Then he rejoined Congress. He was elected as the Chairman of KPCC Campaign committee in September 2018. He entered 17th Lok Sabha by winning from the Vatakara in 2019 general elections.

"
Murli Manohar  Shri,Murli Manohar,Congress,Murli Manohar Congress,"Murli Manohar Joshi (born 5 January 1934) is an  Indian politician. He is a member of the Bharatiya Janata Party (BJP) of which he was the President between 1991 and 1993, and the former Member of Parliament for Kanpur parliamentary constituency. He was formerly a professor of Physics in University of Allahabad. He was one of the key leaders of the BJP. Joshi later became the Union Human Resources Development minister in the National Democratic Alliance government. Joshi was awarded Padma Vibhushan, the second-highest civilian award, in 2017 by the Government of India."
Murmu  Father Anthony,Father Anthony Murmu,Janata Party,Father Anthony Murmu Janata Party,"Father Anthony Murmu was an Indian politician. He was elected to the Lok Sabha      from Rajmahal, Bihar as a member of the Janata Party. Murmu was a Jesuit priest. He struggled for rights of Santhal tribals.Murmu was killed in a massacre in Banjhi 19 April 1985 along with 14 other Santhals."
Murmu  Ms. Chandrani,Ms. Chandrani Murmu,Biju Janata Dal,Ms. Chandrani Murmu Biju Janata Dal,#N/A
Murmu  Shri Hemlal,Hemlal Murmu,Jharkhand Mukti Morcha,Hemlal Murmu Jharkhand Mukti Morcha,Hemlal Murmu  was a member of the 14th Lok Sabha of India. He represented the Rajmahal constituency of Jharkhand and was a member of the Jharkhand Mukti Morcha (JMM) political party. He is the Bharatiya Janata Party candidate from Rajmahal (Lok Sabha Constituency) in 2019.
Murmu  Shri Khagen,Khagen Murmu,Bharatiya Janata Party,Khagen Murmu Bharatiya Janata Party,"Khagen Murmu (born 2 February 1960) is an Indian politician and a Member of Parliament from Maldaha Uttar. He is a member of the Bharatiya Janata Party from West Bengal. He has served for four terms as a MLA from Habibpur constituency as member of CPIM from 2001 to 2019.

"
Murmu  Shri Paika,Paika Murmu,Congress,Paika Murmu Congress,"Paika Murmu was an Indian politician. He was elected to the Lok Sabha, lower house of the Parliament of India from Rajmahal, Bihar as a member of the Indian National Congress."
Murmu  Shri Rupchand,Rupchand Murmu,Communist Party of India (Marxist),Rupchand Murmu Communist Party of India (Marxist),"Rupchand Murmu (born 3 November 1947) is an Indian politician and a member of the Communist Party of India (Marxist) political party. He was elected to the 10th Lok Sabha in 1991 from Jhargram constituency in West Bengal. He was re-elected to the Lok Sabha in 1996, 1998, 1999 and 2004 from the same constituency."
Murmu  Shri Salkhan,Salkhan Murmu,Bharatiya Janata Party,Salkhan Murmu Bharatiya Janata Party,Salkhan Murmu is a socio-political activist.  He is the founder and national president of Jharkhand Disom Party. He was twice the Member of Parliament in 12th and 13th Lok Sabha from Mayurbhanj constituency in Odisha during the Atal Bihari Vajpayee Govt.
Murmu  Shri Sarkar,Sarkar Murmu,Communist Party,Sarkar Murmu Communist Party,"Sarkar Murmu was an Indian politician belonging to the Communist Party of India. He was elected to the Lok Sabha, lower house of the Parliament of India from Balurghat , West Bengal."
Murmu  Shri Sidha Lal,Sidha Lal Murmu,Congress (I),Sidha Lal Murmu Congress (I),"Sidha Lal Murmu was an Indian politician. He was elected to the Lok Sabha, the lower house of the Parliament of India as a member of the Indian National Congress."
Murmu  Shri Yogesh Chandra,Yogesh Chandra Murmu,Congress,Yogesh Chandra Murmu Congress,This is a list of members of the 5th Lok Sabha arranged by state or territory represented. These members of the lower house of the Indian Parliament were elected to the 5th Lok Sabha (1971 to 1977) at the 1971 Indian general election.
Murthi  Dr. M.V.V.S,Dr. M.V.V.S Murthi,Telugu Desam Party,Dr. M.V.V.S Murthi Telugu Desam Party,"Mathukumilli Veera Venkata Satyanarayana Murthi (3 July 1938 – 2 October 2018) was an Indian politician, businessperson and teacher. He was the founder of Gandhi Institute of Technology and Management."
